OBJECTID,Status,Address,YearBuilt,BuildingName,ArchitecturalStyle,DesignationPart,HeritageConservationDistrict,ByLaw,ShapeSTArea,ShapeSTLength
8339,Designated Heritage Property,383 Princess Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,1112.96479292,158.328627095363
8340,Designated Heritage Property,380-382 Dufferin Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,977.21780292,154.536707588426
8341,Designated Heritage Property,355 Princess Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,602.94927744,140.0463464373
8342,Designated Heritage Property,388 Dufferin Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,1573.96364904,175.479921407184
8343,Designated Heritage Property,351 Princess Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,601.64499598,139.787709624606
8344,Designated Heritage Property,374 Dufferin Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,602.9660518,142.122036388975
8345,Designated Heritage Property,359-361 Princess Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,1209.19072192,160.523266482339
8346,Designated Heritage Property,463 Maitland St, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,167.668413,52.0430904788856
8347,Designated Heritage Property,446 Queens Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,1355.48885696,175.10822890345
8348,Designated Heritage Property,472 Queens Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,269.4531719,66.3174529899009
8349,Designated Heritage Property,417 Dufferin Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,304.72476272,85.2648315002569
8350,Designated Heritage Property,474 Colborne St, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,411.07634358,102.316097070901
8351,Designated Heritage Property,467 Maitland St, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,479.72894128,102.220144858041
8352,Designated Heritage Property,453 Dufferin Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,6128.57988168,404.555085396076
8353,Designated Heritage Property,458 Queens Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,921.45544824,131.889389795189
8354,Designated Heritage Property,418 Queens Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,673.1825552,107.200538472644
8355,Designated Heritage Property,423 Dufferin Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,306.78368968,86.3053761525175
8356,Designated Heritage Property,440 Queens Ave, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,1396.50586176,176.788450145639
